id,average_rating,num_votes,is_adult
405,7.9,1093,False
406,6.4,1892,False
407,6.4,35701,False
408,8.4,2806,False
409,5.7,50788,False
410,6.7,16,False
411,7.1,53278,False
412,8.2,24326,False
413,7.2,618,False
414,6.2,79996,False
415,7.7,278349,False
416,4.9,522,False
417,7.5,190,False
418,8.4,1442,False
419,6.6,234,False
420,6.7,645,False
421,5.1,1747,False
422,5.3,4590,False
423,3.2,246,False
424,6.5,372,False
425,5.5,3236,False
426,9.3,12,False
427,7.6,7972,False
428,6.7,8195,False
429,4.7,22930,False
430,6.5,6,False
431,5.2,5,False
432,8.9,219987,False
433,8.0,571,False
434,7.2,6034,False
435,8.0,4721,False
436,6.5,1757,False
437,5.0,11,False
438,7.0,274,False
439,6.2,197067,False
440,6.1,14,False
441,7.0,223383,False
442,6.6,218299,False
443,6.0,352,False
444,6.1,54783,False
445,8.0,385,False
446,6.0,5,False
447,5.4,42987,False
448,7.1,396,False
449,6.5,12042,False
450,8.6,9,False
451,8.4,863572,False
452,5.7,6,False
453,8.1,37,False
454,6.4,7,False
455,7.6,6387,False
456,4.8,7495,False
457,5.0,2650,False
458,6.0,638,False
459,6.6,21206,False
460,7.4,181,False
461,5.6,130,False
462,5.8,5265,False
463,7.3,3689,False
464,7.5,4407,False
465,7.2,3988,False
466,2.1,357,False
467,4.9,4380,False
468,5.2,7675,False
469,6.6,4732,False
470,7.4,291356,False
471,5.4,200,False
472,7.2,518,False
473,6.6,55,False
474,7.1,74,False
475,5.2,528,False
476,8.5,78,False
477,7.1,8,False
478,5.3,1052,False
479,6.5,418,False
480,6.3,522,False
481,6.0,19312,False
482,5.8,5,False
483,4.9,1811,False
484,6.0,11699,False
485,8.4,129,False
486,8.0,5,False
487,8.2,44,False
488,7.4,233,False
489,8.8,240,False
490,8.0,2449,False
491,6.9,242912,False
492,6.6,233844,False
493,6.5,6584,False
494,7.6,18206,False
495,6.3,4365,False
496,5.6,3892,False
497,6.4,158,False
498,7.3,4425,False
499,6.6,15,False
500,7.8,23008,False
501,5.5,1886,False
502,5.3,157,False
503,8.0,238,False
504,7.1,40312,False
505,6.3,576,False
506,6.7,35,False
507,6.6,5226,False
508,6.0,4022,False
509,5.5,210,False
510,4.5,1138,False
511,6.7,154,False
512,7.2,1702,False
513,7.3,925,False
514,6.8,1141,False
515,6.3,1527,False
516,7.2,18390,False
517,6.4,466,False
518,6.2,778,False
519,6.9,370,False
520,6.3,2141,False
521,5.5,751,False
522,6.1,728,False
523,5.6,225,False
524,6.5,2057,False
525,5.7,719,False
526,5.7,1635,False
527,6.8,685,False
528,6.8,8821,False
529,7.5,19716,False
530,5.4,20261,False
531,8.1,76408,False
532,3.5,329,False
533,6.9,37,False
534,5.8,6623,False
535,5.4,1176,False
536,6.5,57119,False
537,7.0,181393,False
538,7.5,880,False
539,6.4,50596,False
540,6.0,3784,False
541,7.3,8220,False
542,5.2,1887,False
543,6.5,129,False
544,7.2,353,False
545,8.0,3725,False
546,7.1,42,False
547,7.3,463,False
548,8.7,3238,False
549,5.6,3631,False
550,7.6,11,False
551,6.7,15,False
552,8.0,73,False
553,7.8,6272,False
554,7.7,75029,False
555,7.1,3414,False
556,6.4,4420,False
557,7.2,516,False
558,7.0,5,False
559,4.8,273,False
560,6.8,51817,False
561,8.1,2785,False
562,4.0,161,False
563,6.8,5717,False
564,6.9,35,False
565,4.7,943,False
566,7.0,58727,False
567,6.0,88983,False
568,6.1,144919,False
569,5.5,941,False
570,8.1,15,False
571,6.5,47109,False
572,6.2,40845,False
573,8.2,26473,False
574,6.4,99241,False
575,6.7,295,False
576,6.5,8726,False
577,2.8,430,False
578,6.5,293,False
579,7.6,6796,False
580,5.4,92,False
581,6.7,72,False
582,6.7,4223,False
583,5.7,614,False
584,5.3,1454,False
585,6.1,335,False
586,5.5,10691,False
