id,type,genres,average_rating,num_votes,is_adult
253,movie,"Action,Drama,Thriller",5.3,4048,False
254,movie,"Comedy,Romance",4.4,1737,False
255,tvSeries,"Adventure,Comedy,Drama",7.5,6742,False
256,movie,"Action,Comedy,Romance",6.4,12863,False
257,movie,Drama,6.9,929,False
258,movie,"Action,Comedy,Crime",7.0,11658,False
259,tvSeries,"Action,Animation,Comedy",7.9,17571,False
260,tvEpisode,"Action,Animation,Comedy",8.4,327,False
261,movie,Thriller,5.0,227,False
262,tvSeries,"Action,Romance",7.5,923,False
263,movie,"Action,Comedy,Drama",7.1,8343,False
264,tvSpecial,Comedy,6.2,52,False
265,movie,Comedy,4.4,102,False
266,movie,Drama,6.2,221,False
267,movie,Drama,5.6,330,False
268,movie,"Action,Adventure,Comedy",5.3,1385,False
269,movie,"Comedy,Drama",6.3,321,False
270,tvSpecial,Comedy,6.2,105,False
271,movie,"Comedy,Drama,Romance",6.3,15333,False
272,movie,\N,6.6,558,False
273,movie,Documentary,7.1,37,False
274,movie,"Drama,Romance",5.2,24,False
275,tvSpecial,Comedy,7.6,5923,False
276,tvSpecial,Comedy,7.4,4019,False
277,tvMiniSeries,"Biography,Crime,Drama",7.8,26914,False
278,movie,"Drama,Romance",7.3,21666,False
279,tvSeries,"Action,Fantasy,Mystery",7.7,19418,False
280,video,Documentary,3.9,407,False
281,movie,"Action,Sci-Fi",2.6,2995,False
282,tvSpecial,"Adventure,Animation,Comedy",6.2,945,False
283,video,"Adventure,Comedy,Family",4.6,1212,False
284,movie,"Documentary,History,Music",6.7,330,False
285,movie,Romance,3.7,32,False
286,movie,"Comedy,Drama,Romance",6.1,2273,False
287,tvSeries,"Comedy,Music",4.4,610,False
288,movie,"Action,Comedy,Romance",3.8,155,False
289,movie,Drama,5.8,3106,False
290,movie,"Animation,Comedy,Drama",6.8,36781,False
291,tvSeries,"Adventure,Animation,Comedy",7.5,438,False
292,movie,Family,5.1,572,False
293,short,"Documentary,Family,Short",6.8,563,False
